學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,班級,學生編號
084503,1,0,0,0,1,00:00:45,,084503_s00001
084503,1,0,0,0,0,00:00:00,,084503_s00002
084503,1,0,0,0,0,00:00:00,,084503_s00003
084503,5,0,5,0,0,00:00:00,,084503_s00004
084503,1,0,0,0,1,00:00:26,,084503_s00005
084503,1,0,0,0,0,00:00:00,,084503_s00006
084503,5,0,8,0,0,00:00:00,,084503_s00007
084503,6,0,3,0,5,00:05:29,,084503_s00008
084503,2,0,4,0,0,00:00:00,,084503_s00009
084503,1,0,1,0,0,00:00:00,,084503_s00010
084503,3,0,2,0,9,00:26:42,,084503_s00011
084503,5,0,14,0,0,00:00:00,,084503_s00012
084503,8,0,0,0,74,06:07:52,,084503_s00013
084503,1,0,1,0,1,00:00:31,,084503_s00014
084503,1,0,4,0,0,00:00:00,,084503_s00015
084503,1,0,2,0,4,00:26:58,,084503_s00016
084503,1,0,0,0,1,00:00:38,,084503_s00017
084503,3,0,0,0,1,00:04:52,,084503_s00018
084503,1,0,0,0,1,00:01:27,,084503_s00019
084503,17,0,3,0,47,04:51:00,,084503_s00020
084503,1,0,0,0,0,00:00:00,,084503_s00021
084503,1,0,0,0,2,00:00:27,,084503_s00022
084503,13,0,19,0,10,00:31:37,,084503_s00023
084503,8,0,10,0,4,00:09:02,,084503_s00024
084503,4,0,5,0,22,00:57:09,,084503_s00025
084503,1,0,0,0,0,00:00:00,,084503_s00026
084503,3,0,6,0,0,00:00:00,,084503_s00027
084503,6,0,10,0,11,00:39:14,,084503_s00028
084503,6,0,8,0,0,00:00:00,,084503_s00029
084503,1,0,1,0,1,00:00:01,,084503_s00030
084503,1,0,1,0,1,00:00:06,,084503_s00031
084503,2,0,0,0,0,00:00:00,,084503_s00032
084503,0,0,0,0,0,00:00:00,,084503_s00033
084503,0,0,0,0,0,00:00:00,,084503_s00034
084503,0,0,0,0,0,00:00:00,,084503_s00035
084503,0,0,0,0,0,00:00:00,,084503_s00036
084503,0,0,0,0,0,00:00:00,,084503_s00037
084503,0,0,0,0,0,00:00:00,,084503_s00038
084503,0,0,0,0,0,00:00:00,,084503_s00039
084503,0,0,0,0,0,00:00:00,,084503_s00040
084503,0,0,0,0,0,00:00:00,,084503_s00041
084503,0,0,0,0,0,00:00:00,,084503_s00042
084503,0,0,0,0,0,00:00:00,,084503_s00043
084503,0,0,0,0,0,00:00:00,,084503_s00044
084503,0,0,0,0,0,00:00:00,,084503_s00045
084503,0,0,0,0,0,00:00:00,,084503_s00046
084503,0,0,0,0,0,00:00:00,,084503_s00047
084503,0,0,0,0,0,00:00:00,,084503_s00048
084503,0,0,0,0,0,00:00:00,,084503_s00049
084503,0,0,0,0,0,00:00:00,,084503_s00050
084503,0,0,0,0,0,00:00:00,,084503_s00051
084503,0,0,0,0,0,00:00:00,,084503_s00052
084503,0,0,0,0,0,00:00:00,,084503_s00053
084503,0,0,0,0,0,00:00:00,,084503_s00054
084503,0,0,0,0,0,00:00:00,,084503_s00055
084503,0,0,0,0,0,00:00:00,,084503_s00056
084503,0,0,0,0,0,00:00:00,,084503_s00057
084503,0,0,0,0,0,00:00:00,,084503_s00058
084503,0,0,0,0,0,00:00:00,,084503_s00059
084503,0,0,0,0,0,00:00:00,,084503_s00060
084503,0,0,0,0,0,00:00:00,,084503_s00061
084503,0,0,0,0,0,00:00:00,,084503_s00062
084503,0,0,0,0,0,00:00:00,,084503_s00063
084503,0,0,0,0,0,00:00:00,,084503_s00064
084503,0,0,0,0,0,00:00:00,,084503_s00065
084503,0,0,0,0,0,00:00:00,,084503_s00066
084503,0,0,0,0,0,00:00:00,,084503_s00067
084503,0,0,0,0,0,00:00:00,,084503_s00068
084503,0,0,0,0,0,00:00:00,,084503_s00069
084503,0,0,0,0,0,00:00:00,,084503_s00070
084503,0,0,0,0,0,00:00:00,,084503_s00071
084503,0,0,0,0,0,00:00:00,,084503_s00072
084503,0,0,0,0,0,00:00:00,,084503_s00073
084503,0,0,0,0,0,00:00:00,,084503_s00074
084503,0,0,0,0,0,00:00:00,,084503_s00075
084503,0,0,0,0,0,00:00:00,,084503_s00076
084503,0,0,0,0,0,00:00:00,,084503_s00077
084503,0,0,0,0,0,00:00:00,,084503_s00078
084503,0,0,0,0,0,00:00:00,,084503_s00079
084503,0,0,0,0,0,00:00:00,,084503_s00080
084503,0,0,0,0,0,00:00:00,,084503_s00081
084503,0,0,0,0,0,00:00:00,,084503_s00082
084503,0,0,0,0,0,00:00:00,,084503_s00083
084503,0,0,0,0,0,00:00:00,,084503_s00084
084503,0,0,0,0,0,00:00:00,,084503_s00085
084503,0,0,0,0,0,00:00:00,,084503_s00086
084503,0,0,0,0,0,00:00:00,,084503_s00087
084503,0,0,0,0,0,00:00:00,,084503_s00088
084503,0,0,0,0,0,00:00:00,,084503_s00089
084503,0,0,0,0,0,00:00:00,,084503_s00090
084503,0,0,0,0,0,00:00:00,,084503_s00091
084503,0,0,0,0,0,00:00:00,,084503_s00092
084503,0,0,0,0,0,00:00:00,,084503_s00093
084503,0,0,0,0,0,00:00:00,,084503_s00094
084503,0,0,0,0,0,00:00:00,,084503_s00095
084503,0,0,0,0,0,00:00:00,,084503_s00096
084503,0,0,0,0,0,00:00:00,,084503_s00097
084503,0,0,0,0,0,00:00:00,,084503_s00098
084503,0,0,0,0,0,00:00:00,,084503_s00099
084503,0,0,0,0,0,00:00:00,,084503_s00100
084503,0,0,0,0,0,00:00:00,,084503_s00101
084503,0,0,0,0,0,00:00:00,,084503_s00102
084503,0,0,0,0,0,00:00:00,,084503_s00103
084503,0,0,0,0,0,00:00:00,,084503_s00104
084503,0,0,0,0,0,00:00:00,,084503_s00105
084503,0,0,0,0,0,00:00:00,,084503_s00106
084503,0,0,0,0,0,00:00:00,,084503_s00107
084503,0,0,0,0,0,00:00:00,,084503_s00108
084503,0,0,0,0,0,00:00:00,,084503_s00109
084503,0,0,0,0,0,00:00:00,,084503_s00110
084503,0,0,0,0,0,00:00:00,,084503_s00111
084503,0,0,0,0,0,00:00:00,,084503_s00112
084503,0,0,0,0,0,00:00:00,,084503_s00113
084503,0,0,0,0,0,00:00:00,,084503_s00114
084503,0,0,0,0,0,00:00:00,,084503_s00115
084503,0,0,0,0,0,00:00:00,,084503_s00116
084503,0,0,0,0,0,00:00:00,,084503_s00117
084503,0,0,0,0,0,00:00:00,,084503_s00118
084503,0,0,0,0,0,00:00:00,,084503_s00119
084503,0,0,0,0,0,00:00:00,,084503_s00120
084503,0,0,0,0,0,00:00:00,,084503_s00121
084503,0,0,0,0,0,00:00:00,,084503_s00122
084503,0,0,0,0,0,00:00:00,,084503_s00123
084503,0,0,0,0,0,00:00:00,,084503_s00124
084503,0,0,0,0,0,00:00:00,,084503_s00125
084503,0,0,0,0,0,00:00:00,,084503_s00126
084503,0,0,0,0,0,00:00:00,,084503_s00127
084503,0,0,0,0,0,00:00:00,,084503_s00128
084503,0,0,0,0,0,00:00:00,,084503_s00129
084503,0,0,0,0,0,00:00:00,,084503_s00130
084503,0,0,0,0,0,00:00:00,,084503_s00131
084503,0,0,0,0,0,00:00:00,,084503_s00132
084503,0,0,0,0,0,00:00:00,,084503_s00133
084503,0,0,0,0,0,00:00:00,,084503_s00134
084503,0,0,0,0,0,00:00:00,,084503_s00135
084503,0,0,0,0,0,00:00:00,,084503_s00136
084503,0,0,0,0,0,00:00:00,,084503_s00137
084503,0,0,0,0,0,00:00:00,,084503_s00138
084503,0,0,0,0,0,00:00:00,,084503_s00139
084503,0,0,0,0,0,00:00:00,,084503_s00140
084503,0,0,0,0,0,00:00:00,,084503_s00141
084503,0,0,0,0,0,00:00:00,,084503_s00142
084503,0,0,0,0,0,00:00:00,,084503_s00143
084503,0,0,0,0,0,00:00:00,,084503_s00144
084503,0,0,0,0,0,00:00:00,,084503_s00145
084503,0,0,0,0,0,00:00:00,,084503_s00146
084503,0,0,0,0,0,00:00:00,,084503_s00147
084503,0,0,0,0,0,00:00:00,,084503_s00148
084503,0,0,0,0,0,00:00:00,,084503_s00149
084503,0,0,0,0,0,00:00:00,,084503_s00150
084503,0,0,0,0,0,00:00:00,,084503_s00151
084503,0,0,0,0,0,00:00:00,,084503_s00152
084503,0,0,0,0,0,00:00:00,,084503_s00153
084503,0,0,0,0,0,00:00:00,,084503_s00154
084503,0,0,0,0,0,00:00:00,,084503_s00155
084503,0,0,0,0,0,00:00:00,,084503_s00156
084503,0,0,0,0,0,00:00:00,,084503_s00157
084503,0,0,0,0,0,00:00:00,,084503_s00158
084503,0,0,0,0,0,00:00:00,,084503_s00159
084503,0,0,0,0,0,00:00:00,,084503_s00160
084503,0,0,0,0,0,00:00:00,,084503_s00161